               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07712,            0.024809,                   0,            0.053234,             0.50495,             0.09079,            0.025824,            0.063453,             0.01447,                   0,            0.070119,           0.0033202,           0.0033202
                   1,            0.054397,            0.023731,                   0,             0.45864,             0.32355,             0.31412,             0.14016,            0.053588,            0.013169,                   0,            0.040075,           0.0066096,           0.0066096
                   2,            0.050771,            0.022783,                   0,             0.45141,              0.2898,             0.29647,             0.12954,            0.055164,            0.013131,                   0,           0.0099868,            0.009855,            0.009855
                   3,            0.050445,            0.022457,                   0,             0.46245,             0.34653,             0.33532,             0.14259,            0.053893,            0.012976,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.048031,            0.022207,                   0,             0.49746,             0.33946,             0.33776,             0.14657,             0.05368,             0.01341,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.045707,            0.021473,                   0,              0.4235,             0.40453,             0.36203,             0.14813,            0.053183,             0.01264,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.043919,            0.021094,                   0,             0.52131,             0.34088,             0.36179,             0.16368,             0.05383,            0.012961,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.042032,            0.020842,                   0,             0.53183,             0.40736,             0.40228,             0.19258,            0.050101,            0.012642,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.041211,            0.020195,                   0,             0.52577,             0.42497,             0.41498,             0.18855,             0.04979,            0.012533,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.040386,            0.020102,                   0,              0.4849,             0.42857,             0.41263,             0.19609,            0.049967,            0.012689,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.039598,            0.019853,                   0,             0.53668,             0.42716,              0.4211,             0.20301,            0.050617,            0.012627,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.038761,            0.019692,                   0,             0.52076,             0.39463,             0.39276,             0.18445,            0.051218,            0.012921,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.038126,            0.019065,                   0,             0.52395,             0.42857,             0.41706,             0.19484,            0.050026,            0.012746,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.037322,            0.018467,                   0,             0.55028,             0.44652,             0.44005,             0.21213,            0.049409,             0.01274,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.036837,            0.018409,                   0,             0.50415,             0.42999,             0.41705,             0.20238,            0.050885,            0.012921,                   0,            0.009142,            0.009142,            0.009142
                  15,              0.0362,            0.018295,                   0,             0.58712,              0.3918,             0.41528,             0.19684,            0.051137,            0.013401,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.035988,            0.018578,                   0,             0.62172,             0.40217,             0.43288,             0.21144,            0.050261,            0.012561,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.035281,            0.017791,                   0,             0.58998,             0.42008,              0.4385,             0.20952,            0.048496,             0.01309,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.034616,            0.018098,                   0,              0.5854,             0.38755,              0.4108,             0.19808,            0.049675,            0.013018,                   0,            0.008878,            0.008878,            0.008878
